id,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,28-Sep,29-Sep,30-Sep,1-Oct,2-Oct,3-Oct,4-Oct
?9,3,3,3,3,2,3,3,NA,3,3,3,3
?10,3,3,3,3,3,3,3,NA,3,3,3,3
?11,3,3,3,3,3,3,3,NA,3,3,3,3
?12,3,3,3,3,3,3,3,NA,3,3,3,3
?13,3,3,3,3,3,3,3,NA,3,3,3,3
?14,3,3,3,3,3,3,3,NA,3,3,3,3
?15,3,3,3,3,3,3,3,NA,3,3,3,3
?16,3,3,3,3,3,3,3,NA,3,3,3,3
?17,3,3,3,3,3,3,3,NA,3,3,3,3
?18,3,3,3,3,3,3,3,NA,3,3,3,3
?19,3,3,3,3,3,3,3,NA,3,3,3,3
?20,3,3,3,3,3,3,3,NA,3,3,3,3
1=,3,3,3,3,1,3,3,NA,3,3,3,3
2,3,3,3,3,3,3,3,NA,3,3,3,3
3,3,3,3,3,1,3,3,NA,3,3,3,3
4,3,3,3,3,3,3,3,NA,3,3,3,3
5=,3,3,3,3,1,3,3,NA,3,3,3,3
6=,3,3,3,3,1,3,3,NA,3,3,3,3
7,3,3,3,3,1,3,3,NA,3,3,3,3
8,3,3,3,3,3,3,3,NA,3,3,3,3
9,3,3,3,3,3,3,3,NA,3,3,3,3
10,3,3,3,3,3,3,3,NA,3,3,3,3
11,3,3,3,3,3,3,3,NA,3,3,3,3
12,3,3,3,3,3,3,3,NA,3,3,3,3
13,3,3,3,3,3,3,3,NA,3,3,3,3
14,3,3,3,3,3,3,3,NA,3,3,3,3
15,3,3,3,3,3,3,3,NA,3,3,3,3
16,3,3,3,3,3,3,3,NA,3,3,3,3
17,3,3,3,3,3,3,3,NA,3,3,3,3
18,3,3,3,3,3,3,3,NA,3,3,3,3
19,3,3,3,3,3,3,3,NA,3,3,3,3
20,3,3,3,3,3,3,3,NA,3,3,3,3
triângulo  1,3,3,3,3,3,3,3,NA,3,3,3,3
2triângulo ,3,3,3,3,2,3,3,NA,3,3,3,3
triângulo  3,3,3,3,3,3,3,2,NA,3,3,3,3
triângulo 4,3,3,3,3,1,3,3,NA,3,3,3,3
triângulo 5,3,3,3,3,3,3,3,NA,3,3,3,3
6triângulo,3,3,3,3,1,3,3,NA,3,3,3,1
triangulo 7,3,3,3,3,3,3,1,NA,3,3,3,3
7triângulo,3,3,3,3,2,3,3,NA,3,3,3,3
triângulo 8,3,3,3,3,3,3,3,NA,3,3,3,3
9triângulo,3,3,3,3,1,3,3,NA,3,3,3,3
triângulo 10,3,3,3,3,3,3,3,NA,3,3,3,3
triângulo 11,3,3,3,3,3,3,3,NA,3,3,3,3
triângulo 12,3,3,3,3,3,3,3,NA,3,3,3,3
triângulo 13,3,3,3,3,3,3,3,NA,3,3,3,3
triângulo  14,3,3,3,3,3,3,3,NA,3,3,3,3
triângulo 15,3,3,3,3,3,3,3,NA,3,3,3,3
triângulo 16,3,3,3,3,3,3,3,NA,3,3,3,3
triângulo 17,3,3,3,3,3,3,3,NA,3,3,3,3
triângulo 18,3,3,3,3,3,3,3,NA,3,3,3,3
triângulo 19,3,3,3,3,3,3,3,NA,3,3,3,3
triângulo 20,3,3,3,3,3,3,3,NA,3,3,3,3
quadrado 20,3,3,3,3,3,3,3,NA,3,3,3,3
quadrado 1,3,3,3,3,1,3,3,NA,3,3,3,3
quadrado 2,3,3,3,3,3,3,3,NA,3,3,3,3
quadrado 3,3,3,3,3,1,3,3,NA,3,3,3,3
quadrado 4,3,3,3,3,3,3,3,NA,3,3,3,3
quadrado 5,3,3,3,3,3,3,3,NA,3,3,3,3
quadrado 6,3,3,3,3,2,3,3,NA,3,3,3,3
quadrado 7,3,3,3,3,3,3,3,NA,3,3,3,3
quadrado 8,3,3,3,3,3,3,3,NA,2,3,3,3
quadrado 9,3,3,3,3,3,3,3,NA,3,3,3,3
quadrado 10,3,3,3,3,3,3,3,NA,3,3,3,3
quadrado 11,3,3,3,3,3,3,3,NA,3,3,3,3
quadrado 12,3,3,3,3,3,3,3,NA,3,3,3,3
quadrado 13,3,3,3,3,3,3,3,NA,3,3,3,3
quadrado 14,3,3,3,3,3,3,3,NA,3,3,3,3
quadrado 15,3,3,3,3,3,3,3,NA,3,3,3,3
quadrado 16,3,3,3,3,3,3,3,NA,3,3,3,3
quadrado 17,3,3,3,3,3,3,3,NA,3,3,3,3
quadrado 18,3,3,3,3,3,3,3,NA,3,3,3,3
quadrado 19,3,3,3,3,3,3,3,NA,3,3,3,3
quadrado 20,3,3,3,3,3,3,3,NA,3,3,3,3
-1,3,3,3,3,3,3,3,NA,3,3,3,3
-2,3,3,3,3,1,3,3,NA,3,3,3,3
2-,3,3,3,3,2,3,3,NA,3,3,3,3
-3,3,3,3,3,1,3,3,NA,3,3,3,3
-4,3,3,3,3,2,3,3,NA,3,3,3,3
5-,3,3,3,3,2,3,3,NA,3,3,3,3
-6,3,3,3,3,3,3,3,NA,3,3,3,3
7-,3,3,3,3,2,3,3,NA,3,3,3,3
-8,3,3,3,3,1,3,3,NA,3,3,3,3
-9,3,3,3,3,1,3,2,NA,3,3,3,3
-10,3,3,3,3,3,3,3,NA,3,3,3,3
-11,3,3,3,3,3,3,3,NA,3,3,3,3
-12,3,3,3,3,3,3,3,NA,3,3,3,3
-13,3,3,3,3,3,3,3,NA,3,3,3,3
-14,3,3,3,3,3,3,3,NA,3,3,3,3
-15,3,3,3,3,3,3,3,NA,3,3,3,3
-16,3,3,3,3,3,3,3,NA,3,3,3,3
-17,3,3,3,3,3,3,3,NA,3,3,3,3
-18,3,3,3,3,3,3,3,NA,3,3,3,3
-19,3,3,3,3,3,3,3,NA,3,3,3,3
-20,3,3,3,3,3,3,3,NA,3,3,3,3
1!,3,3,3,3,3,2,3,NA,3,3,3,3
!1,3,3,3,3,3,1,3,NA,3,3,3,3
!2,3,3,3,3,3,1,3,NA,3,3,3,3
!3,3,3,3,3,3,1,3,NA,3,3,3,3
4!,3,3,3,3,3,1,3,NA,3,3,3,3
!5,3,3,3,3,3,2,3,NA,3,3,3,3
5!,3,3,3,3,3,2,3,NA,3,3,3,3
!6,3,3,3,3,3,2,3,NA,3,3,3,3
7!,3,3,3,3,3,1,3,NA,3,3,3,3
!7,3,3,3,3,3,2,3,NA,3,3,3,3
!8,3,3,3,3,3,1,3,NA,3,3,3,3
!9,3,3,3,3,3,2,3,NA,3,3,3,3
!10,3,3,3,3,3,3,3,NA,3,3,3,3
!11,3,3,3,3,3,3,3,NA,3,3,3,3
!12,3,3,3,3,3,3,3,NA,3,3,3,3
!13,3,3,3,3,3,3,3,NA,3,3,3,3
!14,3,3,3,3,3,3,3,NA,3,3,3,3
!15,3,3,3,3,3,3,3,NA,3,3,3,3
!16,3,3,3,3,3,3,3,NA,3,3,3,3
!17,3,3,3,3,3,3,3,NA,3,3,3,3
!18,3,3,3,3,3,3,3,NA,3,3,3,3
!19,3,3,3,3,3,3,3,NA,3,3,3,3
!20,3,3,3,3,3,3,3,NA,3,3,3,3
II1,3,3,3,3,3,3,3,NA,3,3,3,3
II2,3,3,3,3,3,3,3,NA,3,3,3,3
II3,3,3,3,3,3,2,3,NA,3,3,3,3
II4,3,3,3,3,3,3,3,NA,3,3,2,3
II5,3,3,3,3,3,3,3,NA,3,3,3,3
II6,3,3,3,3,3,1,3,NA,3,3,3,3
6II,3,3,3,3,3,1,3,NA,3,3,3,3
II7,3,3,3,3,3,1,3,NA,3,3,3,3
II8,3,3,3,3,3,1,3,NA,3,3,2,3
9II,3,3,3,3,3,3,3,NA,3,3,2,3
II10,3,3,3,3,3,1,3,NA,3,3,3,3
10II,3,3,3,3,3,1,3,NA,3,3,3,3
II11,3,3,3,3,3,3,3,NA,3,3,3,3
II12,3,3,3,3,3,3,3,NA,3,3,3,3
II13,3,3,3,3,3,3,3,NA,3,3,3,3
